股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
600760,2026-06-12,321.52420656,341.83019196,344.81862,321.52420656,47764317,2110641027.94,7.3,22.91,1.6881,7.184
600795,2026-06-12,1204.79591008,1214.49245664,1224.1890032,1195.09936352,202449043,1014306442.92,2.4,4.85,1.1351,0.4008
600803,2026-06-12,110.34016488,111.25056228,111.9788802,107.30550688,12248006,222625608.49,4.22,0.61,0.3987,0.5485
600809,2026-06-12,601.946145,597.6105195,616.81834875,597.6105195,10419862,1252503518.58,3.19,-5.34,0.8541,-0.8863
600845,2026-06-12,222.88259568,220.54552652,224.23563572,218.08545372,22109569,396463961.15,2.79,0.25,1.036,0.1117
600875,2026-06-12,80.19351,80.9954451,83.48144391,80.19351,72822838,2234334520.32,4.17,2.17,3.2175,2.7467
600886,2026-06-12,600.62721563,615.54418081,618.6153207,597.55607574,48628870,678130291.91,3.49,11.41,0.6524,1.8882
600887,2026-06-12,2192.00380352,2197.98821328,2219.36110528,2175.7604056,60687881,1557689694.09,1.99,8.55,0.9642,0.3905
600893,2026-06-12,124.16261904,123.97101006,129.6554098,123.46005278,46728267,1849746968.44,5.08,2.01,1.7533,1.6496
600900,2026-06-12,89.466609,91.109676,91.141893,89.144439,149424523,4191923900.37,2.22,1.26,0.6107,1.3984
600905,2026-06-12,4.39573395,4.42751034,4.52283951,4.39573395,418030551,1765454390.85,2.88,0.02,1.4623,0.4808
600918,2026-06-12,5.38462357,5.51898078,5.52931595,5.32261255,61344806,324003590.32,3.85,0.16,1.3444,2.8902
600919,2026-06-12,19.5731874,19.89104258,19.97468868,19.47281208,102886268,1218334141.28,2.55,0.18,0.5606,0.9338
600926,2026-06-12,43.22297862,43.93155204,44.01028242,43.09176132,65464168,1089489537.53,2.11,0.34,0.9031,0.7827
600938,2026-06-12,42.31050314,42.95430264,43.76549001,42.31050314,66967423,2233814307.78,3.34,-0.59,2.2397,-1.3601
600941,2026-06-12,118.7434759,117.77767912,119.06540816,117.70338706,9674562,922416878.42,1.15,-1.05,1.0717,-0.8857
600958,2026-06-12,11.07450545,11.5364634,11.59889015,10.99959335,108004007,986760628.37,5.44,0.52,1.4459,4.7619
600989,2026-06-12,27.22090932,28.0215243,28.56739815,27.1723872,97011849,2225479319.07,5.01,0.17,1.3229,0.6098
600999,2026-06-12,37.92899992,38.91902602,39.1610324,37.75299528,113204670,1988372735.3,3.71,0.99,1.5253,2.6102
601006,2026-06-12,13.32384984,13.37672226,13.40315847,13.27097742,87102385,439743823.24,0.99,0.08,0.4385,0.5964
601009,2026-06-12,82.8050685,83.9403565,83.9403565,82.166469,58838304,689669504.1,2.14,1.06,0.4759,1.2842
601012,2026-06-12,268.86795607,265.51450394,273.60224143,264.72545638,186973565,2557192087.49,3.3,-3.55,2.4673,-1.3196
601018,2026-06-12,4.76515616,4.85127344,4.85127344,4.75080328,67585800,227015865.0,2.11,0.09,0.3474,1.8072
601021,2026-06-12,95.47286496,96.8981506,97.17469856,95.0899524,11762290,532606877.34,2.23,3.3,1.2023,3.5227
601058,2026-06-12,69.62276168,70.35981046,71.38033954,68.82901684,61520347,762759420.06,3.69,1.3,1.871,1.8883
601059,2026-06-12,14.95390127,15.32850814,15.36900618,14.74128656,14478881,215929983.79,4.2,0.37,0.4465,2.5051
601066,2026-06-12,26.95242726,28.10027838,28.28790789,26.55509418,53388322,1345856170.39,6.38,0.96,0.8219,3.538
601077,2026-06-12,10.12100928,10.179176,10.20825936,10.01921752,44013862,306583815.14,1.87,0.06,0.498,0.5747
601088,2026-06-12,126.17552743,123.89314398,126.202379,122.9801906,94683678,4365216881.53,2.54,-3.09,0.5742,-2.4318
