股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
600760,2026-06-22,313.24855968,320.2981848,320.45143752,310.94976888,17712373,728810444.36,3.0,4.06,0.626,1.2842
600795,2026-06-22,1146.61663072,1153.88904064,1158.73731392,1119.95112768,194384982,911181758.72,3.38,4.85,1.0899,0.4219
600809,2026-06-22,565.19415675,572.75629425,580.77216,555.363378,13932221,1564264690.48,4.45,1.66,1.142,0.2913
600845,2026-06-22,218.9464792,222.26757748,222.39058112,212.67329356,20094343,356373079.17,4.41,2.09,0.9416,0.9497
688187,2026-06-22,87.09015186,88.29305451,88.29305451,84.71107773,80073115,2583713317.19,4.12,1.26,3.5378,1.4435
600886,2026-06-22,574.30315943,578.25176786,581.76164202,569.47708246,49720001,650673194.35,2.14,4.83,0.667,0.8416
600887,2026-06-22,2068.8959456,2105.65731984,2122.75563344,2039.82881248,77568558,1887393623.18,4.0,31.63,1.2324,1.5251
600893,2026-06-22,124.60970666,132.8488928,133.4875894,124.545837,53240133,2179178166.48,7.18,8.24,1.9977,6.612
688041,2026-06-22,85.890522,86.792598,87.275853,85.407267,149732867,4009564148.67,2.18,0.9,0.6119,1.0503
600999,2026-06-22,40.8110759,43.2311397,43.38514376,40.701073,181461061,3508052964.54,6.57,2.35,2.4449,5.7589
601009,2026-06-22,78.01175395,78.30095415,79.530055,76.85495315,58957056,636100703.83,3.41,-0.14,0.4769,-0.1843
601012,2026-06-22,251.90343353,260.97748047,263.14736126,247.76093384,175473634,2265816110.95,6.07,7.69,2.3155,3.0374
601018,2026-06-22,4.31099691,4.27922052,4.32158904,4.19448348,213309521,854685831.57,2.95,-0.03,0.7462,-0.7371
601058,2026-06-22,64.9169887,69.33928138,70.13302622,63.61297932,93206686,1114870797.24,10.0,4.14,2.8347,6.3478
601818,2026-06-22,9.20814398,9.44500942,9.57824623,9.10451535,76122652,480577641.03,5.11,0.18,0.8613,1.9169
601100,2026-06-22,420.6943102,411.08762349,422.1228138,392.4813641,14301520,1622561582.85,7.04,-9.96,1.0666,-2.3664
603296,2026-06-22,68.26061469,69.3329933,69.73646248,66.17956313,36375659,2319297739.98,5.17,0.52,2.336,0.7561
601211,2026-06-22,23.084894,24.35993175,24.5344106,23.01778675,233998792,4185351285.26,6.54,1.17,1.7337,5.0347
601788,2026-06-22,33.8838368,34.73093272,35.07747196,33.691315,64693610,578789197.6,4.07,0.69,0.4553,2.0362
601298,2026-06-22,10.61064342,11.08456794,11.11089708,10.61064342,251081607,2088169854.93,4.7,0.45,4.1242,4.2079
601689,2026-06-22,159.92556085,168.3120197,169.31580435,157.5618099,172497232,8759839754.87,7.35,8.42,1.6182,5.2653
601881,2026-06-22,18.14868981,18.20310867,18.42078411,18.03985209,205069821,1371629461.17,2.1,0.03,0.7865,0.1497
601995,2026-06-22,75.4461904,84.09328018,84.09328018,74.8484653,68668252,4197356939.71,12.09,7.65,3.2927,10.0087
601601,2026-06-22,48.0358416,51.0906108,51.801774,47.9388648,106208301,3285930892.94,7.97,2.63,1.5516,5.437
601607,2026-06-22,155.63310407,156.91120284,157.50109458,152.68364537,11621363,182956597.2,3.08,0.49,0.4167,0.3143
601628,2026-06-22,44.81304223,49.02393452,49.58897438,44.5305223,87223319,3092284320.83,11.16,3.69,0.4189,8.1306
