date,w_opt,best_ret,trend_score,breadth_score,accel_decline_score,volatility_score,composite,ret_5d,ret_10d,ret_20d,ratio_ma20,vol_20,vol_60,market_up_ratio_5d,market_return_5d,market_volatility_5d,consecutive_downs,w0_ret,w1_ret,w_opt_smoothed
2026-03-17,0.5,0.01802561892712555,0.25,0.4,0.8,0.0,0.375,-1.127461403508772,-0.893442105263158,-1.0359824561403514,0.5,0.0,0.0,0.4,-0.2254922807017544,0.6087428821179406,0.0,0.010752353109128195,0.01802561892712555,0.5133157221560907
2026-03-18,0.3,0.021272651059655374,0.25,0.4,0.8,0.0,0.375,-1.6920641176470588,0.37440588235294103,-1.104740588235294,0.5,0.0,0.0,0.4,-0.33841282352941177,0.42428368052551446,0.0,-0.010811256986321642,0.021272651059655374,0.40665786107804536
2026-03-19,0.2,-0.01554606204562704,0.6000000000000001,0.7,0.8,0.0,0.5549999999999999,-3.4255435294117644,-1.9726276470588235,-2.8676088235294124,0.5,0.0,0.0,0.2,-0.6851087058823528,0.6162499871047817,0.0,-0.015546062045627043,-0.015681416067658965,0.30332893053902266
2026-03-20,0.3,-0.005477583325034037,0.75,0.7,0.8,0.0,0.6,-3.8145170588235295,-3.6034029411764705,-3.9925064705882356,0.5,0.0,0.0,0.2,-0.7629034117647059,0.6339535636991764,0.0,-0.02391376897055312,-0.005477583325034037,0.3016644652695113
2026-03-23,0.6,0.046771183967586165,1.0,0.9,0.8,0.0,0.7250000000000001,-6.5664982248520705,-6.277666863905325,-6.026334319526628,0.5,0.0,0.0,0.2,-1.3132996449704142,1.2860234788387985,0.0,0.006705557635571987,0.046771183967586165,0.45083223263475564
2026-03-24,0.3,-0.038017343824204436,1.0,0.7,0.8,0.0,0.675,-4.337229585798816,-5.487901775147929,-5.5636053254437865,0.5,0.0,0.0,0.4,-0.8674459171597633,1.817711147921387,0.0,-0.04525918334015491,-0.038017343824204436,0.3754161163173778
2026-03-25,0.8,-0.018067211165762903,1.0,0.7,0.5,0.0,0.6,-3.1964745562130177,-4.899385798816567,-4.660521301775148,0.5,0.0,0.0,0.4,-0.6392949112426035,2.032332486439858,0.0,-0.03382729763868303,-0.018067211165762903,0.5877080581586889
2026-03-26,0.3,0.0321096965219981,1.0,0.7,0.8,0.0,0.675,-2.9647553571428578,-6.422805357142859,-6.038608333333335,0.5,0.0,0.0,0.4,-0.5929510714285715,2.0161360849671013,0.0,0.007826477900231771,-0.01665242033450047,0.44385402907934446
2026-03-27,0.6,0.0077177482595652035,0.85,0.7,0.0,0.0,0.43,-1.4971619047619056,-5.343626190476192,-5.792969642857145,0.5,0.0,0.0,0.6,-0.2994323809523811,2.044084916194032,0.0,0.001159820230724985,-0.0588045408511217,0.5219270145396722
2026-03-30,0.1,0.01368795981636296,0.6,0.7,0.0,0.0,0.355,1.6605017857142854,-4.946616071428573,-6.384229761904764,0.5,0.0,0.0,0.6,0.33210035714285707,1.1588452765485338,0.0,-0.0038138845156039975,0.005314752665482302,0.31096350726983607
